,longitude,latitude,month,hour,day,local_authority_(district),1st_road_class,1st_road_number,speed_limit,accident,weather_conditions,junction_detail
36,-3.560347,54.541152,7,15,15,63,6,0,30,1,1,3
37,-3.560347,54.541152,1,4,15,1,6,0,30,0,1,3
38,-3.560347,54.541152,6,19,26,383,6,0,30,0,1,3
39,-3.560347,54.541152,4,16,14,747,6,0,30,0,1,3
40,-0.59351,52.316621,9,5,29,382,3,5028,30,1,1,3
41,-0.59351,52.316621,6,16,19,830,3,5028,30,0,1,3
42,-0.59351,52.316621,1,5,23,185,3,5028,30,0,1,3
43,-0.59351,52.316621,10,16,27,450,3,5028,30,0,1,3
44,-0.368338,51.413065,10,18,22,24,3,308,30,1,1,3
45,-0.368338,51.413065,2,5,14,594,3,308,30,0,1,3
46,-0.368338,51.413065,5,8,16,31,3,308,30,0,1,3
47,-0.368338,51.413065,7,12,26,824,3,308,30,0,1,3
48,-3.910238,56.090672,1,18,29,939,6,0,30,1,1,0
49,-3.910238,56.090672,5,5,9,541,6,0,30,0,1,0
50,-3.910238,56.090672,3,1,19,927,6,0,30,0,1,0
51,-3.910238,56.090672,2,10,26,646,6,0,30,0,1,0
52,-1.442155,53.384572,5,7,18,215,3,57,50,1,1,0
53,-1.442155,53.384572,9,19,25,451,3,57,50,0,1,0
54,-1.442155,53.384572,9,5,13,215,3,57,50,0,1,0
55,-1.442155,53.384572,6,9,11,612,3,57,50,0,1,0
56,-0.189176,52.550055,4,18,16,392,3,605,40,1,1,0
57,-0.189176,52.550055,3,6,21,73,3,605,40,0,1,0
58,-0.189176,52.550055,10,14,12,807,3,605,40,0,1,0
59,-0.189176,52.550055,2,0,19,122,3,605,40,0,1,0
60,-3.433736,56.399422,8,14,14,934,3,989,30,1,2,3
61,-3.433736,56.399422,7,20,14,15,3,989,30,0,2,3
62,-3.433736,56.399422,1,6,14,517,3,989,30,0,2,3
63,-3.433736,56.399422,12,16,1,257,3,989,30,0,2,3
64,-0.062633,51.633315,3,21,15,32,5,0,30,1,1,3
65,-0.062633,51.633315,11,0,9,525,5,0,30,0,1,3
66,-0.062633,51.633315,11,7,17,760,5,0,30,0,1,3
67,-0.062633,51.633315,7,5,4,704,5,0,30,0,1,3
68,-2.509761,51.500269,5,9,19,612,6,0,30,1,1,3
69,-2.509761,51.500269,2,11,16,509,6,0,30,0,1,3
70,-2.509761,51.500269,7,0,26,96,6,0,30,0,1,3
71,-2.509761,51.500269,12,13,18,263,6,0,30,0,1,3
72,-2.211726,53.582443,6,18,23,106,3,6045,30,1,1,3
73,-2.211726,53.582443,7,13,18,927,3,6045,30,0,1,3
74,-2.211726,53.582443,3,14,17,282,3,6045,30,0,1,3
75,-2.211726,53.582443,12,18,11,889,3,6045,30,0,1,3
76,0.27649,51.484483,5,0,24,462,4,186,40,1,1,1
77,0.27649,51.484483,11,16,5,739,4,186,40,0,1,1
78,0.27649,51.484483,1,4,7,348,4,186,40,0,1,1
79,0.27649,51.484483,8,6,16,369,4,186,40,0,1,1
80,-1.8187,50.785554,10,21,15,641,6,0,40,1,1,0
81,-1.8187,50.785554,8,6,26,420,6,0,40,0,1,0
82,-1.8187,50.785554,8,18,19,142,6,0,40,0,1,0
83,-1.8187,50.785554,6,21,1,728,6,0,40,0,1,0
84,-0.140192,50.836729,5,13,17,565,3,23,30,1,1,6
85,-0.140192,50.836729,9,5,19,685,3,23,30,0,1,6
86,-0.140192,50.836729,6,1,18,508,3,23,30,0,1,6
87,-0.140192,50.836729,8,6,3,659,3,23,30,0,1,6
88,-0.104593,51.507116,2,8,16,8,3,201,30,1,1,6
89,-0.104593,51.507116,2,4,1,558,3,201,30,0,1,6
90,-0.104593,51.507116,9,21,19,193,3,201,30,0,1,6
91,-0.104593,51.507116,8,11,18,114,3,201,30,0,1,6
92,-3.567048,54.526415,12,8,16,63,3,595,40,1,2,3
93,-3.567048,54.526415,12,4,10,334,3,595,40,0,2,3
94,-3.567048,54.526415,6,22,13,912,3,595,40,0,2,3
95,-3.567048,54.526415,2,18,4,301,3,595,40,0,2,3
96,-0.751571,50.815096,11,8,18,559,4,2166,40,1,1,1
97,-0.751571,50.815096,5,23,4,935,4,2166,40,0,1,1
98,-0.751571,50.815096,6,11,18,925,4,2166,40,0,1,1
99,-0.751571,50.815096,4,5,15,289,4,2166,40,0,1,1
100,0.481909,51.727061,1,19,29,454,3,138,30,1,1,1
101,0.481909,51.727061,12,1,12,753,3,138,30,0,1,1
102,0.481909,51.727061,10,3,23,537,3,138,30,0,1,1
103,0.481909,51.727061,10,11,13,272,3,138,30,0,1,1
104,-3.100462,51.603754,1,12,13,731,3,467,60,1,1,0
105,-3.100462,51.603754,12,20,15,870,3,467,60,0,1,0
106,-3.100462,51.603754,5,18,6,82,3,467,60,0,1,0
107,-3.100462,51.603754,8,18,24,393,3,467,60,0,1,0
108,-2.456541,53.075054,12,15,16,129,6,0,20,1,1,3
109,-2.456541,53.075054,4,9,18,819,6,0,20,0,1,3
110,-2.456541,53.075054,6,14,7,336,6,0,20,0,1,3
111,-2.456541,53.075054,1,23,13,268,6,0,20,0,1,3
112,-1.253929,51.740238,10,9,21,482,3,4144,30,1,2,3
113,-1.253929,51.740238,5,22,17,404,3,4144,30,0,2,3
114,-1.253929,51.740238,7,15,20,873,3,4144,30,0,2,3
115,-1.253929,51.740238,1,16,17,552,3,4144,30,0,2,3
116,-0.690599,51.411264,12,7,17,474,3,329,40,1,1,0
117,-0.690599,51.411264,9,1,21,7,3,329,40,0,1,0
118,-0.690599,51.411264,6,11,7,296,3,329,40,0,1,0
119,-0.690599,51.411264,9,17,17,490,3,329,40,0,1,0
120,0.267099,51.48623,5,20,16,462,3,282,70,1,1,0
121,0.267099,51.48623,2,21,26,251,3,282,70,0,1,0
122,0.267099,51.48623,8,5,24,104,3,282,70,0,1,0
123,0.267099,51.48623,1,2,23,641,3,282,70,0,1,0
124,0.39194,50.999365,1,7,17,555,3,265,30,1,1,0
125,0.39194,50.999365,2,2,4,923,3,265,30,0,1,0
126,0.39194,50.999365,3,20,11,304,3,265,30,0,1,0
127,0.39194,50.999365,4,10,5,334,3,265,30,0,1,0
128,-1.631251,55.06828,9,14,25,139,3,1068,70,1,1,3
129,-1.631251,55.06828,4,17,16,559,3,1068,70,0,1,3
130,-1.631251,55.06828,3,3,21,799,3,1068,70,0,1,3
131,-1.631251,55.06828,9,12,7,271,3,1068,70,0,1,3
132,-0.52974,51.573795,9,13,28,477,3,40,40,1,1,3
133,-0.52974,51.573795,12,12,15,872,3,40,40,0,1,3
134,-0.52974,51.573795,9,23,2,495,3,40,40,0,1,3
135,-0.52974,51.573795,10,2,10,21,3,40,40,0,1,3
136,-1.653858,53.237598,8,17,14,329,3,619,50,1,2,0
137,-1.653858,53.237598,2,17,16,748,3,619,50,0,2,0
138,-1.653858,53.237598,5,21,24,269,3,619,50,0,2,0
139,-1.653858,53.237598,12,19,17,610,3,619,50,0,2,0
140,-0.175185,51.700618,12,19,22,33,3,1000,30,1,2,3
141,-0.175185,51.700618,2,17,6,43,3,1000,30,0,2,3
142,-0.175185,51.700618,8,7,17,728,3,1000,30,0,2,3
143,-0.175185,51.700618,10,13,8,938,3,1000,30,0,2,3
144,-1.962486,53.171531,6,11,24,256,3,53,60,1,1,3
145,-1.962486,53.171531,11,9,17,312,3,53,60,0,1,3
146,-1.962486,53.171531,12,14,22,890,3,53,60,0,1,3
147,-1.962486,53.171531,12,11,27,217,3,53,60,0,1,3
148,-1.159703,52.662229,3,15,21,364,6,2342,30,1,1,8
149,-1.159703,52.662229,11,7,17,401,6,2342,30,0,1,8
150,-1.159703,52.662229,10,21,27,654,6,2342,30,0,1,8
151,-1.159703,52.662229,12,7,16,91,6,2342,30,0,1,8
152,-1.360514,53.394841,1,16,31,213,6,0,30,1,1,0
153,-1.360514,53.394841,4,17,22,308,6,0,30,0,1,0
154,-1.360514,53.394841,12,4,21,814,6,0,30,0,1,0
155,-1.360514,53.394841,2,5,22,558,6,0,30,0,1,0
156,-1.228273,54.555805,12,12,19,243,5,123,30,1,1,0
157,-1.228273,54.555805,1,22,14,72,5,123,30,0,1,0
158,-1.228273,54.555805,8,16,6,415,5,123,30,0,1,0
159,-1.228273,54.555805,4,19,1,32,5,123,30,0,1,0
160,-1.820459,51.553022,7,7,20,633,6,0,30,1,1,3
161,-1.820459,51.553022,2,17,12,672,6,0,30,0,1,3
162,-1.820459,51.553022,4,10,14,256,6,0,30,0,1,3
163,-1.820459,51.553022,5,11,3,932,6,0,30,0,1,3
164,0.582895,51.869008,1,17,31,451,3,120,70,1,2,0
165,0.582895,51.869008,11,22,9,703,3,120,70,0,2,0
166,0.582895,51.869008,1,7,2,921,3,120,70,0,2,0
167,0.582895,51.869008,10,20,1,653,3,120,70,0,2,0
168,-2.334618,53.517625,10,11,28,107,4,5231,30,1,1,0
169,-2.334618,53.517625,12,20,1,909,4,5231,30,0,1,0
170,-2.334618,53.517625,12,12,7,239,4,5231,30,0,1,0
171,-2.334618,53.517625,4,10,17,45,4,5231,30,0,1,0
172,-1.529668,55.003095,5,14,22,148,6,2055,30,1,1,3
173,-1.529668,55.003095,4,8,14,238,6,2055,30,0,1,3
174,-1.529668,55.003095,3,4,10,230,6,2055,30,0,1,3
175,-1.529668,55.003095,11,19,23,178,6,2055,30,0,1,3
176,-0.097898,51.439473,12,11,21,9,3,205,30,1,1,3
177,-0.097898,51.439473,6,6,4,84,3,205,30,0,1,3
178,-0.097898,51.439473,5,2,4,603,3,205,30,0,1,3
179,-0.097898,51.439473,11,3,26,85,3,205,30,0,1,3
180,-0.758789,51.223385,4,7,24,517,5,121,40,1,1,3
181,-0.758789,51.223385,9,12,26,304,5,121,40,0,1,3
182,-0.758789,51.223385,8,14,27,683,5,121,40,0,1,3
183,-0.758789,51.223385,4,9,18,436,5,121,40,0,1,3
184,-0.348125,51.400544,6,8,23,510,4,3379,30,1,1,9
185,-0.348125,51.400544,2,9,13,918,4,3379,30,0,1,9
186,-0.348125,51.400544,6,9,20,221,4,3379,30,0,1,9
187,-0.348125,51.400544,12,11,3,117,4,3379,30,0,1,9
188,0.152876,51.070748,12,8,14,556,6,0,40,1,1,8
189,0.152876,51.070748,12,20,15,27,6,0,40,0,1,8
190,0.152876,51.070748,6,9,4,588,6,0,40,0,1,8
191,0.152876,51.070748,2,18,18,564,6,0,40,0,1,8
192,-2.419226,50.710669,10,16,30,645,3,35,60,1,1,0
193,-2.419226,50.710669,3,16,23,853,3,35,60,0,1,0
194,-2.419226,50.710669,8,3,19,191,3,35,60,0,1,0
195,-2.419226,50.710669,5,20,11,100,3,35,60,0,1,0
196,-2.700072,53.76583,10,17,19,79,3,6,30,1,1,8
197,-2.700072,53.76583,4,16,8,178,3,6,30,0,1,8
198,-2.700072,53.76583,4,9,3,169,3,6,30,0,1,8
199,-2.700072,53.76583,9,4,6,689,3,6,30,0,1,8
200,-0.101634,51.495108,2,17,24,8,3,3,30,1,1,1
201,-0.101634,51.495108,9,14,25,685,3,3,30,0,1,1
202,-0.101634,51.495108,9,1,17,714,3,3,30,0,1,1
203,-0.101634,51.495108,7,18,27,805,3,3,30,0,1,1
204,-0.243544,54.08961,11,8,21,231,6,0,60,1,4,0
205,-0.243544,54.08961,11,18,8,374,6,0,60,0,4,0
206,-0.243544,54.08961,6,17,6,440,6,0,60,0,4,0
207,-0.243544,54.08961,5,20,13,22,6,0,60,0,4,0
208,-1.452773,53.373726,10,17,28,215,3,6135,30,1,2,3
209,-1.452773,53.373726,8,0,18,171,3,6135,30,0,2,3
210,-1.452773,53.373726,4,4,1,206,3,6135,30,0,2,3
211,-1.452773,53.373726,12,9,1,417,3,6135,30,0,2,3
212,-2.24797,53.478108,9,18,15,102,3,34,30,1,1,3
213,-2.24797,53.478108,11,14,20,144,3,34,30,0,1,3
214,-2.24797,53.478108,7,20,14,502,3,34,30,0,1,3
215,-2.24797,53.478108,3,4,21,562,3,34,30,0,1,3
216,-2.546733,51.459766,6,12,23,601,3,420,30,1,1,3
217,-2.546733,51.459766,8,12,23,584,3,420,30,0,1,3
218,-2.546733,51.459766,6,0,8,756,3,420,30,0,1,3
219,-2.546733,51.459766,10,16,9,331,3,420,30,0,1,3
220,-2.423884,53.531094,11,7,18,107,3,6,30,1,2,6
221,-2.423884,53.531094,3,21,1,49,3,6,30,0,2,6
222,-2.423884,53.531094,1,3,21,461,3,6,30,0,2,6
223,-2.423884,53.531094,9,21,18,691,3,6,30,0,2,6
224,-1.083982,53.959135,8,20,22,189,6,7210,30,1,2,0
225,-1.083982,53.959135,6,21,24,432,6,7210,30,0,2,0
226,-1.083982,53.959135,3,1,1,810,6,7210,30,0,2,0
227,-1.083982,53.959135,7,0,7,261,6,7210,30,0,2,0
228,-4.855783,55.237409,5,1,27,937,3,77,30,1,2,0
229,-4.855783,55.237409,12,22,2,22,3,77,30,0,2,0
230,-4.855783,55.237409,6,23,6,76,3,77,30,0,2,0
231,-4.855783,55.237409,6,3,1,843,3,77,30,0,2,0
232,-2.278061,51.820677,8,23,20,623,4,4008,30,1,1,0
233,-2.278061,51.820677,2,15,8,375,4,4008,30,0,1,0
234,-2.278061,51.820677,7,5,9,556,4,4008,30,0,1,0
235,-2.278061,51.820677,5,5,5,225,4,4008,30,0,1,0
236,-0.061177,51.531856,10,9,23,5,3,1208,30,1,1,6
237,-0.061177,51.531856,4,0,6,938,3,1208,30,0,1,6
238,-0.061177,51.531856,2,9,10,34,3,1208,30,0,1,6
239,-0.061177,51.531856,11,8,26,624,3,1208,30,0,1,6
240,-1.579516,53.776901,10,19,31,204,1,621,50,1,1,5
241,-1.579516,53.776901,6,6,22,51,1,621,50,0,1,5
242,-1.579516,53.776901,7,18,12,810,1,621,50,0,1,5
243,-1.579516,53.776901,11,8,8,937,1,621,50,0,1,5
244,1.163608,52.022501,3,20,22,410,4,1456,60,1,1,0
245,1.163608,52.022501,7,8,8,269,4,1456,60,0,1,0
246,1.163608,52.022501,9,18,24,734,4,1456,60,0,1,0
247,1.163608,52.022501,3,17,12,159,4,1456,60,0,1,0
248,-1.537454,53.811314,2,11,28,204,3,61,30,1,1,6
249,-1.537454,53.811314,11,14,6,522,3,61,30,0,1,6
250,-1.537454,53.811314,2,19,7,27,3,61,30,0,1,6
251,-1.537454,53.811314,7,13,12,691,3,61,30,0,1,6
252,-0.118787,51.512381,12,3,19,1,3,301,30,1,1,0
253,-0.118787,51.512381,9,14,20,99,3,301,30,0,1,0
254,-0.118787,51.512381,7,11,23,42,3,301,30,0,1,0
255,-0.118787,51.512381,10,19,28,334,3,301,30,0,1,0
256,0.733834,51.212742,4,15,24,536,1,20,70,1,1,0
257,0.733834,51.212742,2,19,13,400,1,20,70,0,1,0
258,0.733834,51.212742,2,8,13,878,1,20,70,0,1,0
259,0.733834,51.212742,10,2,18,396,1,20,70,0,1,0
260,-3.196369,54.135189,9,10,13,61,6,0,30,1,1,0
261,-3.196369,54.135189,4,0,11,473,6,0,30,0,1,0
262,-3.196369,54.135189,2,2,6,478,6,0,30,0,1,0
263,-3.196369,54.135189,5,8,28,425,6,0,30,0,1,0
264,-0.421273,50.83453,2,12,28,564,6,0,30,1,2,8
265,-0.421273,50.83453,10,10,5,876,6,0,30,0,2,8
266,-0.421273,50.83453,11,10,11,604,6,0,30,0,2,8
267,-0.421273,50.83453,8,15,10,217,6,0,30,0,2,8
268,-2.624606,50.907651,2,21,22,610,3,37,60,1,2,0
269,-2.624606,50.907651,5,20,14,815,3,37,60,0,2,0
270,-2.624606,50.907651,6,3,25,589,3,37,60,0,2,0
271,-2.624606,50.907651,9,7,13,824,3,37,60,0,2,0
272,-2.31835,53.64081,9,11,15,101,5,0,30,1,1,3
273,-2.31835,53.64081,6,20,25,599,5,0,30,0,1,3
274,-2.31835,53.64081,6,20,7,246,5,0,30,0,1,3
275,-2.31835,53.64081,3,5,21,940,5,0,30,0,1,3
276,-2.476632,53.579972,10,1,17,100,3,673,40,1,1,6
277,-2.476632,53.579972,9,10,23,760,3,673,40,0,1,6
278,-2.476632,53.579972,12,12,15,116,3,673,40,0,1,6
279,-2.476632,53.579972,8,13,5,126,3,673,40,0,1,6
280,-1.825806,52.347626,9,14,14,293,1,42,70,1,2,0
281,-1.825806,52.347626,12,10,25,256,1,42,70,0,2,0
282,-1.825806,52.347626,8,19,2,82,1,42,70,0,2,0
283,-1.825806,52.347626,3,3,16,582,1,42,70,0,2,0
284,-1.870888,52.509172,7,15,13,300,2,38,50,1,8,5
285,-1.870888,52.509172,4,10,12,112,2,38,50,0,8,5
286,-1.870888,52.509172,9,21,6,559,2,38,50,0,8,5
287,-1.870888,52.509172,1,2,25,861,2,38,50,0,8,5
288,-0.12557,51.508622,4,14,25,1,3,4,30,1,1,3
289,-0.12557,51.508622,3,17,4,355,3,4,30,0,1,3
290,-0.12557,51.508622,6,7,9,58,3,4,30,0,1,3
291,-0.12557,51.508622,12,17,13,594,3,4,30,0,1,3
292,-1.555479,53.81007,9,13,23,204,3,660,30,1,2,3
293,-1.555479,53.81007,8,6,6,891,3,660,30,0,2,3
294,-1.555479,53.81007,3,2,9,316,3,660,30,0,2,3
295,-1.555479,53.81007,1,11,26,9,3,660,30,0,2,3
296,-1.65128,52.59479,9,16,15,290,6,0,60,1,1,3
297,-1.65128,52.59479,6,1,19,316,6,0,60,0,1,3
298,-1.65128,52.59479,10,14,20,298,6,0,60,0,1,3
299,-1.65128,52.59479,1,19,21,925,6,0,60,0,1,3
300,-3.165309,56.098811,4,11,18,925,6,0,20,1,1,3
301,-3.165309,56.098811,4,12,12,392,6,0,20,0,1,3
302,-3.165309,56.098811,12,14,28,657,6,0,20,0,1,3
303,-3.165309,56.098811,6,13,7,402,6,0,20,0,1,3
304,-1.243076,53.015139,10,19,31,342,1,1,70,1,1,0
305,-1.243076,53.015139,3,18,1,552,1,1,70,0,1,0
306,-1.243076,53.015139,2,16,22,492,1,1,70,0,1,0
307,-1.243076,53.015139,2,9,2,831,1,1,70,0,1,0
308,-0.102939,51.623182,9,12,21,32,3,111,30,1,2,8
309,-0.102939,51.623182,5,11,11,909,3,111,30,0,2,8
310,-0.102939,51.623182,11,2,9,55,3,111,30,0,2,8
311,-0.102939,51.623182,8,12,2,353,3,111,30,0,2,8
312,-2.588096,51.459413,5,0,24,601,3,4044,30,1,1,3
313,-2.588096,51.459413,5,17,10,582,3,4044,30,0,1,3
314,-2.588096,51.459413,4,14,26,160,3,4044,30,0,1,3
315,-2.588096,51.459413,12,6,23,618,3,4044,30,0,1,3
316,-0.253764,51.589284,4,22,28,30,3,5,30,1,1,5
317,-0.253764,51.589284,11,21,17,122,3,5,30,0,1,5
318,-0.253764,51.589284,12,17,24,758,3,5,30,0,1,5
319,-0.253764,51.589284,6,8,4,73,3,5,30,0,1,5
320,-0.188195,51.422919,10,7,30,22,3,218,30,1,1,0
321,-0.188195,51.422919,12,7,24,567,3,218,30,0,1,0
322,-0.188195,51.422919,4,20,22,436,3,218,30,0,1,0
323,-0.188195,51.422919,11,11,3,533,3,218,30,0,1,0
324,-0.516024,51.39387,6,15,29,514,3,320,30,1,1,0
325,-0.516024,51.39387,6,18,18,811,3,320,30,0,1,0
326,-0.516024,51.39387,12,15,26,241,3,320,30,0,1,0
327,-0.516024,51.39387,10,0,22,798,3,320,30,0,1,0
328,-1.686837,52.148716,11,7,26,293,3,3400,50,1,1,0
329,-1.686837,52.148716,9,12,13,291,3,3400,50,0,1,0
330,-1.686837,52.148716,1,19,7,137,3,3400,50,0,1,0
331,-1.686837,52.148716,8,13,19,273,3,3400,50,0,1,0
332,-0.372761,52.771778,5,17,19,355,6,0,30,1,1,9
333,-0.372761,52.771778,5,2,6,937,6,0,30,0,1,9
334,-0.372761,52.771778,11,14,21,765,6,0,30,0,1,9
335,-0.372761,52.771778,6,8,26,381,6,0,30,0,1,9
336,-3.147476,56.133741,4,13,23,925,4,981,40,1,1,1
337,-3.147476,56.133741,11,1,10,594,4,981,40,0,1,1
338,-3.147476,56.133741,10,22,22,772,4,981,40,0,1,1
339,-3.147476,56.133741,3,5,21,544,4,981,40,0,1,1
340,0.890871,52.354278,10,12,29,414,4,1111,30,1,1,3
341,0.890871,52.354278,7,21,12,524,4,1111,30,0,1,3
342,0.890871,52.354278,11,15,14,811,4,1111,30,0,1,3
343,0.890871,52.354278,10,21,8,33,4,1111,30,0,1,3
344,-3.947266,50.803366,2,8,18,589,6,0,60,1,1,6
345,-3.947266,50.803366,5,0,2,628,6,0,60,0,1,6
346,-3.947266,50.803366,2,6,9,618,6,0,60,0,1,6
347,-3.947266,50.803366,9,12,16,633,6,0,60,0,1,6
348,0.458128,50.855705,7,15,13,555,6,0,30,1,1,8
349,0.458128,50.855705,5,17,5,523,6,0,30,0,1,8
350,0.458128,50.855705,3,23,8,861,6,0,30,0,1,8
351,0.458128,50.855705,8,19,10,472,6,0,30,0,1,8
352,-0.057579,51.511383,6,12,16,5,6,0,30,1,1,0
353,-0.057579,51.511383,8,7,8,483,6,0,30,0,1,0
354,-0.057579,51.511383,7,8,15,296,6,0,30,0,1,0
355,-0.057579,51.511383,6,4,11,918,6,0,30,0,1,0
356,-2.174391,53.392397,5,18,30,109,6,0,30,1,1,6
357,-2.174391,53.392397,9,18,27,34,6,0,30,0,1,6
358,-2.174391,53.392397,9,18,11,208,6,0,30,0,1,6
359,-2.174391,53.392397,3,10,21,473,6,0,30,0,1,6
360,-3.947617,56.091418,7,13,14,939,1,9,70,1,1,0
361,-3.947617,56.091418,6,7,9,397,1,9,70,0,1,0
362,-3.947617,56.091418,9,13,2,538,1,9,70,0,1,0
363,-3.947617,56.091418,7,16,5,116,1,9,70,0,1,0
364,0.141109,51.580945,8,13,22,16,3,1112,30,1,1,5
365,0.141109,51.580945,5,16,22,154,3,1112,30,0,1,5
366,0.141109,51.580945,12,19,20,846,3,1112,30,0,1,5
367,0.141109,51.580945,12,6,22,359,3,1112,30,0,1,5
368,0.165836,51.600096,12,17,29,15,4,1459,30,1,1,0
369,0.165836,51.600096,10,4,5,613,4,1459,30,0,1,0
370,0.165836,51.600096,10,4,3,394,4,1459,30,0,1,0
371,0.165836,51.600096,12,20,24,764,4,1459,30,0,1,0
372,-1.326466,50.985418,12,16,18,502,6,0,60,1,1,8
373,-1.326466,50.985418,5,12,24,276,6,0,60,0,1,8
374,-1.326466,50.985418,2,19,4,929,6,0,60,0,1,8
375,-1.326466,50.985418,11,10,6,687,6,0,60,0,1,8
376,0.128888,52.499445,12,18,22,392,4,1098,60,1,1,6
377,0.128888,52.499445,9,8,3,412,4,1098,60,0,1,6
378,0.128888,52.499445,5,11,8,536,4,1098,60,0,1,6
379,0.128888,52.499445,1,13,28,833,4,1098,60,0,1,6
380,-1.656425,54.96459,12,10,14,147,3,695,50,1,1,6
381,-1.656425,54.96459,2,4,26,319,3,695,50,0,1,6
382,-1.656425,54.96459,5,18,13,170,3,695,50,0,1,6
383,-1.656425,54.96459,12,18,27,368,3,695,50,0,1,6
384,-0.909861,52.243426,9,17,17,384,5,152,30,1,1,0
385,-0.909861,52.243426,1,18,19,889,5,152,30,0,1,0
386,-0.909861,52.243426,8,3,3,824,5,152,30,0,1,0
387,-0.909861,52.243426,6,3,21,366,5,152,30,0,1,0
388,1.278671,52.710766,8,12,25,401,3,140,50,1,1,0
389,1.278671,52.710766,8,3,4,186,3,140,50,0,1,0
390,1.278671,52.710766,11,21,4,176,3,140,50,0,1,0
391,1.278671,52.710766,10,16,24,103,3,140,50,0,1,0
392,-2.936297,53.450408,5,20,25,91,3,580,40,1,1,3
393,-2.936297,53.450408,1,18,16,158,3,580,40,0,1,3
394,-2.936297,53.450408,9,3,4,50,3,580,40,0,1,3
395,-2.936297,53.450408,12,0,3,160,3,580,40,0,1,3
396,-1.141925,51.739951,10,18,15,484,6,407,60,1,2,0
397,-1.141925,51.739951,9,0,1,733,6,407,60,0,2,0
398,-1.141925,51.739951,9,4,4,847,6,407,60,0,2,0
399,-1.141925,51.739951,1,22,20,381,6,407,60,0,2,0
400,0.62897,51.792165,11,18,26,451,6,0,30,1,8,1
401,0.62897,51.792165,5,0,14,748,6,0,30,0,8,1
402,0.62897,51.792165,9,22,1,149,6,0,30,0,8,1
403,0.62897,51.792165,8,16,21,129,6,0,30,0,8,1
404,-1.433055,53.234146,11,12,14,322,3,619,30,1,2,0
405,-1.433055,53.234146,3,2,23,607,3,619,30,0,2,0
406,-1.433055,53.234146,9,0,4,501,3,619,30,0,2,0
407,-1.433055,53.234146,5,9,26,368,3,619,30,0,2,0
408,-0.620726,51.207559,8,12,23,511,6,98,30,1,1,9
409,-0.620726,51.207559,5,8,2,121,6,98,30,0,1,9
410,-0.620726,51.207559,5,14,18,616,6,98,30,0,1,9
411,-0.620726,51.207559,6,18,27,123,6,98,30,0,1,9
412,-1.990315,52.602691,11,9,29,307,4,4210,30,1,1,3
413,-1.990315,52.602691,2,6,11,255,4,4210,30,0,1,3
414,-1.990315,52.602691,9,6,1,691,4,4210,30,0,1,3
415,-1.990315,52.602691,11,10,28,340,4,4210,30,0,1,3
416,-0.149593,51.132387,12,13,24,560,3,2011,70,1,1,0
417,-0.149593,51.132387,11,5,22,827,3,2011,70,0,1,0
418,-0.149593,51.132387,12,9,14,848,3,2011,70,0,1,0
